Appliance_Id,Name,Main_Category,Sub_Category,Ratings,No_Of_Ratings,Discount_Price,Actual_Price,Savings
AA001,"Pigeon by Stovekraft Amaze Plus Electric Kettle (14289) with Stainless Steel Body, 1.5 litre, used for boiling Water, maki...",appliances,All Appliances,3.9,128941,599,1245,646
AA002,Pigeon Polypropylene Mini Handy and Compact Chopper with 3 Blades for Effortlessly Chopping Vegetables and Fruits for Your...,appliances,All Appliances,4.1,274505,199,545,346
AA003,Glun Multipurpose Portable Electronic Digital Weighing Scale Weight Machine (10 Kg - with Back Light),appliances,All Appliances,3.8,365,199,899,700
AA004,beatXP Kitchen Scale Multipurpose Portable Electronic Digital Weighing Scale | Weight Machine With Back light LCD Display...,appliances,All Appliances,3.7,3290,299,1999,1700
AA005,"Bajaj DX-6 1000W Dry Iron with Advance Soleplate and Anti-bacterial German Coating Technology, White",appliances,All Appliances,4.2,24380,625,1400,775
AA006,Bajaj Frore 1200 mm Ceiling Fan (Brown),appliances,All Appliances,4.1,9971,1349,2660,1311
AA007,Kuber Industries Nylon Mesh Laundry Basket|Sturdy Material & Durable Handles|Netted Lightweight Laundry Bag (Assorted),appliances,All Appliances,3.7,4210,92,99,7
AA008,"Prestige Electric Kettle PKOSS - 1500watts, Steel (1.5Ltr), Black",appliances,All Appliances,3.9,64888,699,1445,746
AA009,"NutriPro Juicer Mixer Grinder - Smoothie Maker - 500 Watts (3 Jar, Silver)",appliances,All Appliances,4.1,6023,1990,6000,4010
AA010,Philips GC1905 1440-Watt Steam Iron with Spray (Blue),appliances,All Appliances,4.3,38928,1699,2295,596
AA011,"Lifelong LLMG23 Power Pro 500-Watt Mixer Grinder with 3 Jars (Liquidizing, Wet Grinding and Chutney Jar), Stainless Steel ...",appliances,All Appliances,3.8,45688,1329,3500,2171
AA012,"Bajaj PX 97 Torque New 36L Personal Air Cooler for home with DuraMarine Pump (2-Yr Warranty), Turbo Fan Technology, Powerf...",appliances,All Appliances,3.7,19602,5799,9050,3251
AA013,"Bajaj Rex 500W Mixer Grinder with Nutri-Pro Feature, 3 Jars, White",appliances,All Appliances,4.2,42284,2099,3210,1111
AA014,USHA Armor AR1100WB 1100 W Dry Iron with Black Weilburger Soleplate (Purple),appliances,All Appliances,3.9,17030,549,990,441
AA015,Philips Viva Collection HD4928/01 2100-Watt Induction Cooktop with Feather Touch Sensor and Crystal Glass Plate (Black),appliances,All Appliances,4.2,40782,3099,5995,2896
AA016,"PrettyKrafts Laundry Basket for clothes with Lid & Handles, Toys Organiser, 75 Ltr Black & Grey",appliances,All Appliances,3.9,5754,289,1099,810
AA017,Butterfly EKN 1.5-Litre Electric Kettle (Silver with Black),appliances,All Appliances,4.2,36295,649,1299,650
AA018,Pigeon by Stovekraft Cruise 1800 watt Induction Cooktop (Black),appliances,All Appliances,3.8,55819,1689,3193,1504
AA019,"Pigeon Healthifry Digital Air Fryer, 360° High Speed Air Circulation Technology 1200 W with Non-Stick 4.2 L Basket - Green",appliances,All Appliances,3.9,692,3529,7995,4466
AA020,"Bajaj Majesty DX-11 1000W Dry Iron with Advance Soleplate and Anti-bacterial German Coating Technology, White and Blue",appliances,All Appliances,4.2,25165,599,785,186
AA021,"BAJAJ PYGMY MINI 110 MM 10 W HIGH SPEED OPERATION, USB CHARGING, MULTI-CLIP FUNCTION PERSONAL FAN",appliances,All Appliances,4.1,4648,986,1620,634
AA022,"Pigeon Kessel Multipurpose Kettle (12173) 1.2 litres with Stainless Steel Body, used for boiling Water and milk, Tea, Coff...",appliances,All Appliances,3.9,15338,899,1458,559
